country,region,income_group,currency,population,primary_language,year,genai_adoption_rate_pct,enterprise_adoption_pct,consumer_adoption_pct,sme_adoption_pct,government_adoption_pct,llm_usage_pct,image_gen_usage_pct,code_gen_usage_pct,voice_ai_usage_pct,video_gen_usage_pct,gdp_contribution_bn_usd,productivity_gain_pct,job_displacement_pct,job_creation_pct,net_job_impact_pct,genai_startups_count,vc_investment_mn_usd,has_national_ai_strategy,regulation_stringency_score,data_privacy_score,copyright_clarity_score,deepfake_law_exists,ai_liability_framework_exists,mandatory_ai_disclosure_law,govt_genai_budget_mn_usd,ai_literacy_score,university_ai_programs_count,k12_ai_curriculum_exists,genai_workforce_pct,reskilling_programs_count,internet_penetration_pct,cloud_readiness_score,gpu_compute_per_1k_usd,avg_internet_speed_mbps,mobile_ai_penetration_pct,public_trust_score,ai_anxiety_index,misinformation_risk_index,deepfake_incidents_reported,genai_used_in_elections,public_debate_maturity_score,native_lang_llm_support,low_resource_language_country,digital_divide_index,gender_ai_gap_score,rural_urban_ai_gap_score,genai_papers_published,genai_patents_filed,intl_ai_collaboration_score,healthcare_genai_adoption_pct,education_genai_adoption_pct,finance_genai_adoption_pct,media_genai_adoption_pct,legal_genai_adoption_pct,agriculture_genai_adoption_pct,global_genai_index_score
United States,North America,High income,USD,335000000,English,2022,76.88,60.15,64.69,31.96,17.99,59.71,34.54,28.2,45.32,16.4,377.8,9.1,9.13,2.23,-6.9,266,832.5,1,49.96,55.14,48.39,0,0,0,372.12,53.31,31,1,12.78,26,72.76,73.86,7.725,160.7,47.23,49.05,61.22,84.57,93,0,39.6,1,0,15.51,27.9,41.07,389,221,55.82,54.79,61.76,62.97,45.84,31.48,32.25,19.32
United States,North America,High income,USD,335000000,English,2023,83.7,65.62,67.08,37.79,41.96,59.48,50.5,39.41,29.57,15.55,460.61,13.64,11.25,4.82,-6.43,309,568.12,1,61.75,72.33,40.32,0,0,0,108.3,52.71,65,0,23.86,64,77.66,63.68,5.851,195.8,70.98,49.74,54.04,73.69,136,0,40.34,1,0,19.38,21.52,43.38,162,400,49.19,37.48,65.58,59.69,64.1,40.42,16.13,22.5
United States,North America,High income,USD,335000000,English,2024,99.0,68.98,65.95,55.79,46.21,71.63,49.1,52.3,27.49,36.69,582.58,11.65,5.24,8.64,3.4,541,818.9,1,69.68,41.01,54.34,1,1,0,676.4,49.85,15,1,13.05,38,77.84,66.16,6.61,198.7,72.56,55.22,48.12,74.06,188,1,66.3,1,0,20.42,27.72,24.81,1120,302,39.86,62.52,59.67,86.61,71.97,41.23,22.32,21.82
United States,North America,High income,USD,335000000,English,2025,99.0,71.25,87.93,50.78,41.08,69.94,65.56,36.04,45.71,30.51,628.78,9.94,6.49,8.58,2.08,668,2073.63,1,76.75,81.67,32.58,1,0,0,650.96,24.74,53,1,18.95,60,75.26,77.94,6.311,155.3,75.36,57.95,46.25,56.9,270,1,61.7,1,0,20.99,41.71,22.88,635,196,52.31,65.67,53.49,69.46,67.23,55.41,24.13,21.99
China,East Asia,Upper-middle income,CNY,1412000000,Mandarin,2022,46.19,30.43,31.5,32.05,18.84,42.86,20.96,24.42,13.45,15.22,1573.41,6.1,4.72,1.62,-3.1,1908,2987.36,1,30.85,41.84,19.12,0,0,0,234.51,34.13,212,1,12.55,99,53.41,52.08,4.776,114.2,31.88,66.21,39.52,82.25,162,0,48.83,0,1,51.44,24.16,62.45,636,896,17.6,24.33,37.67,32.26,39.88,24.9,7.76,12.98
China,East Asia,Upper-middle income,CNY,1412000000,Mandarin,2023,53.11,34.25,44.99,36.07,24.64,39.27,32.8,29.17,22.06,22.58,1425.88,9.25,2.57,1.66,-0.9,1109,1089.17,1,31.06,41.23,25.34,0,0,0,1786.18,42.17,60,1,8.89,68,45.95,27.59,4.058,44.0,40.96,65.64,39.54,76.36,327,0,42.22,1,0,58.52,23.06,46.76,73,653,16.55,35.12,31.54,37.78,40.47,18.21,12.97,14.65
China,East Asia,Upper-middle income,CNY,1412000000,Mandarin,2024,64.84,54.1,49.58,26.33,34.93,59.19,42.41,32.32,26.57,29.58,1176.95,8.51,4.48,6.33,1.85,2657,1591.4,1,51.02,30.52,36.76,0,0,0,806.22,38.21,156,0,8.82,152,51.41,32.92,5.2,116.2,41.03,65.8,39.98,76.38,707,0,24.66,0,0,52.23,0.0,42.28,2993,711,14.23,28.41,47.56,57.42,40.44,34.21,31.0,15.43
China,East Asia,Upper-middle income,CNY,1412000000,Mandarin,2025,61.06,48.36,57.94,38.01,18.46,48.46,34.38,21.96,29.16,15.46,1778.33,8.74,6.85,2.42,-4.43,2089,4693.71,1,61.67,41.68,37.8,0,0,1,1687.77,34.43,64,1,21.36,98,49.71,43.5,1.189,154.7,45.04,64.34,42.46,59.54,528,1,33.55,1,1,45.15,14.44,37.54,3023,993,22.42,40.3,39.07,43.5,52.45,21.31,18.46,16.29
India,South Asia,Lower-middle income,INR,1428000000,Hindi/English,2022,31.4,20.64,29.51,17.69,10.16,28.11,22.39,16.9,11.95,13.42,1004.95,3.59,3.65,2.86,-0.79,384,353.75,0,3.13,27.32,6.5,0,0,0,110.28,24.79,102,0,3.0,73,38.26,32.58,1.119,77.3,27.64,41.6,53.12,80.37,205,0,11.71,0,1,62.95,6.2,78.33,427,119,1.85,21.69,26.25,19.72,27.51,19.32,6.45,7.48
India,South Asia,Lower-middle income,INR,1428000000,Hindi/English,2023,33.25,27.69,24.03,15.74,11.07,25.12,22.68,12.55,19.14,9.84,1094.73,6.53,2.03,1.97,-0.06,556,527.78,1,12.78,22.31,1.59,0,0,0,1143.45,22.98,81,0,5.75,30,38.59,31.32,3.589,57.8,25.44,38.85,60.31,95.0,521,0,39.67,1,0,65.14,13.31,74.3,529,364,16.91,16.59,18.08,24.84,18.7,18.62,6.07,9.54
India,South Asia,Lower-middle income,INR,1428000000,Hindi/English,2024,37.34,26.03,28.48,22.42,10.18,31.37,19.14,21.31,15.47,17.42,1064.19,3.11,4.96,3.82,-1.15,1941,2355.2,1,12.96,36.13,12.32,1,1,0,1221.37,21.25,77,0,2.3,5,36.58,35.02,4.012,114.7,28.1,39.43,61.2,81.46,1124,0,47.06,0,1,75.66,7.84,71.5,665,658,25.75,18.44,25.46,28.45,28.23,10.48,10.09,8.69
