respondent_id,country,income_group,survey_year,age_group,gender,education_level,employment_type,urban_rural,genai_usage_frequency,primary_use_case,trust_in_genai_score,fear_of_job_loss_score,ai_should_be_regulated,willing_to_pay_for_genai,monthly_spend_usd,has_experienced_ai_harm,reported_ai_harm,native_language_supported,digital_skills_self_rating,heard_of_hallucination,uses_genai_for_news
SRV-00-2023-0000,United States,High income,2023,45-54,Non-binary,Master,Employed full-time,Urban,Monthly,Education/Learning,6,7,Neutral,0,0.0,0,0,1,4,0,1
SRV-00-2023-0001,United States,High income,2023,55-64,Female,Bachelor,Self-employed,Urban,Several times/week,Creative Projects,8,4,Strongly agree,1,3.29,0,0,1,4,1,1
SRV-00-2023-0002,United States,High income,2023,18-24,Female,Primary,Employed full-time,Urban,Several times/week,Research,4,8,Agree,0,31.57,0,0,1,8,1,0
SRV-00-2023-0003,United States,High income,2023,65+,Female,Vocational,Unemployed,Urban,Rarely,None,7,1,Agree,0,29.22,0,0,1,9,1,0
SRV-00-2023-0004,United States,High income,2023,25-34,Prefer not to say,Secondary,Employed part-time,Urban,Never,Research,6,6,Agree,0,11.82,0,0,1,7,1,0
SRV-00-2023-0005,United States,High income,2023,45-54,Female,Secondary,Employed full-time,Suburban,Daily,Education/Learning,6,8,Agree,0,0.0,0,0,1,2,1,1
SRV-00-2023-0006,United States,High income,2023,45-54,Female,Bachelor,Student,Urban,Daily,Coding,6,6,Neutral,1,0.0,0,0,1,7,1,0
SRV-00-2023-0007,United States,High income,2023,25-34,Female,Bachelor,Employed full-time,Urban,Daily,Entertainment,7,2,Neutral,1,48.77,0,0,1,8,1,1
SRV-00-2023-0008,United States,High income,2023,45-54,Female,Vocational,Retired,Urban,Several times/week,Entertainment,5,2,Agree,1,0.71,0,0,1,8,1,0
SRV-00-2023-0009,United States,High income,2023,18-24,Female,Master,Self-employed,Urban,Several times/week,Coding,6,8,Strongly agree,1,2.58,1,0,1,4,1,1
SRV-00-2023-0010,United States,High income,2023,45-54,Female,Vocational,Student,Rural,Daily,Work/Productivity,8,2,Strongly agree,0,0.0,1,0,1,4,1,0
SRV-00-2023-0011,United States,High income,2023,35-44,Non-binary,PhD,Employed full-time,Urban,Daily,Coding,8,6,Strongly agree,1,0.0,0,0,1,6,1,0
SRV-00-2023-0012,United States,High income,2023,45-54,Male,Secondary,Employed part-time,Urban,Daily,Creative Projects,7,6,Agree,0,3.78,0,0,1,8,1,0
SRV-00-2023-0013,United States,High income,2023,35-44,Male,No formal,Employed full-time,Urban,Monthly,Research,8,7,Strongly agree,0,0.0,0,0,1,6,0,0
SRV-00-2023-0014,United States,High income,2023,35-44,Male,Bachelor,Homemaker,Rural,Weekly,Research,7,7,Disagree,0,2.73,0,0,1,5,0,1
SRV-00-2023-0015,United States,High income,2023,65+,Male,Secondary,Employed full-time,Rural,Weekly,Healthcare Info,7,5,Neutral,1,33.18,0,0,1,6,0,1
SRV-00-2023-0016,United States,High income,2023,55-64,Male,PhD,Employed full-time,Rural,Several times/week,Healthcare Info,8,5,Agree,1,0.46,0,0,1,7,1,0
SRV-00-2023-0017,United States,High income,2023,25-34,Female,Bachelor,Self-employed,Urban,Never,Healthcare Info,10,5,Strongly agree,1,26.52,0,0,1,10,1,0
SRV-00-2023-0018,United States,High income,2023,18-24,Male,Bachelor,Unemployed,Urban,Monthly,Education/Learning,10,4,Agree,1,0.0,0,0,1,10,1,1
SRV-00-2023-0019,United States,High income,2023,18-24,Female,Master,Employed part-time,Rural,Daily,Work/Productivity,8,2,Neutral,1,0.0,0,0,1,7,1,0
SRV-00-2023-0020,United States,High income,2023,45-54,Male,Bachelor,Student,Urban,Daily,Research,9,8,Agree,1,0.0,0,0,1,8,0,0
SRV-00-2023-0021,United States,High income,2023,45-54,Female,Secondary,Employed part-time,Urban,Weekly,None,9,8,Strongly agree,1,0.0,0,0,1,7,1,0
SRV-00-2023-0022,United States,High income,2023,25-34,Male,Master,Employed full-time,Rural,Rarely,None,4,5,Neutral,1,0.0,0,0,1,10,1,0
SRV-00-2023-0023,United States,High income,2023,35-44,Male,Bachelor,Employed full-time,Suburban,Weekly,Entertainment,7,2,Agree,1,0.0,0,0,1,10,1,0
SRV-00-2023-0024,United States,High income,2023,18-24,Female,Bachelor,Self-employed,Rural,Several times/week,Healthcare Info,6,7,Strongly agree,1,0.0,0,0,1,7,1,0
SRV-00-2023-0025,United States,High income,2023,18-24,Male,Master,Employed full-time,Urban,Daily,Research,4,3,Strongly agree,0,1.4,1,0,1,6,1,0
SRV-00-2023-0026,United States,High income,2023,55-64,Prefer not to say,No formal,Employed full-time,Urban,Several times/week,Coding,9,5,Neutral,0,17.28,0,0,1,9,1,0
SRV-00-2023-0027,United States,High income,2023,35-44,Female,Secondary,Employed full-time,Urban,Daily,Coding,9,2,Disagree,0,0.0,0,0,1,8,0,1
SRV-00-2023-0028,United States,High income,2023,65+,Female,Bachelor,Employed full-time,Urban,Daily,Education/Learning,7,5,Agree,1,12.48,0,0,1,6,1,0
SRV-00-2023-0029,United States,High income,2023,18-24,Female,Master,Homemaker,Urban,Several times/week,Creative Projects,6,7,Strongly agree,0,0.0,0,0,1,10,1,1
SRV-00-2023-0030,United States,High income,2023,55-64,Female,Secondary,Employed part-time,Urban,Monthly,Entertainment,7,4,Strongly agree,1,7.58,0,0,1,8,0,1
SRV-00-2023-0031,United States,High income,2023,25-34,Female,Vocational,Employed full-time,Rural,Weekly,Entertainment,8,6,Strongly agree,1,0.0,0,0,1,8,1,1
SRV-00-2023-0032,United States,High income,2023,35-44,Male,Primary,Homemaker,Suburban,Daily,Entertainment,7,4,Agree,0,0.0,0,0,1,8,1,0
